wave,flux
3700.85,0.14774
3701.75,0.14595
3702.65,0.14118
3703.55,0.13466
3704.45,0.12742
3705.35,0.12111
3706.25,0.116
3707.15,0.11395
3708.05,0.11438
3708.96,0.11643
3709.86,0.11997
3710.76,0.12394
3711.66,0.12899
3712.56,0.13636
3713.46,0.14166
3714.36,0.14755
3715.26,0.15029
3716.16,0.15022
3717.06,0.14729
3717.96,0.14164
3718.86,0.1322
3719.76,0.12239
3720.66,0.1132
3721.56,0.10773
3722.46,0.10636
3723.36,0.10986
3724.26,0.11654
3725.16,0.12409
3726.06,0.13013
3726.96,0.13372
3727.86,0.13534
3728.76,0.13601
3729.66,0.13537
3730.56,0.13257
3731.46,0.12719
3732.36,0.12064
3733.26,0.11245
3734.16,0.10337
3735.06,0.096987
3735.96,0.093079
3736.86,0.094666
3737.76,0.0994
3738.66,0.1074
3739.56,0.11741
3740.46,0.12488
3741.36,0.1303
3742.26,0.13288
3743.16,0.13072
3744.06,0.12629
3744.96,0.1201
3745.86,0.11348
3746.76,0.10747
3747.67,0.10171
3748.57,0.097794
3749.47,0.096494
3750.37,0.098055
3751.27,0.1033
3752.17,0.11208
3753.07,0.12304
3753.97,0.13339
3754.87,0.13973
3755.77,0.14382
3756.67,0.14327
3757.57,0.13955
3758.47,0.13394
3759.37,0.12975
3760.27,0.12762
3761.17,0.12842
3762.07,0.13012
3762.97,0.13278
3763.87,0.13452
3764.77,0.13559
3765.67,0.13553
3766.57,0.13493
3767.47,0.13316
3768.37,0.13259
3769.27,0.13112
3770.17,0.13165
3771.07,0.13258
3771.97,0.13589
3772.87,0.13972
3773.77,0.14476
3774.67,0.14822
3775.57,0.15228
3776.47,0.15526
3777.37,0.15725
3778.27,0.15982
3779.17,0.16274
3780.07,0.1666
3780.97,0.16915
3781.87,0.17132
3782.77,0.17226
3783.67,0.17223
3784.57,0.17009
3785.47,0.16605
3786.38,0.16012
3787.28,0.15459
3788.18,0.14932
3789.08,0.14555
3789.98,0.14313
3790.88,0.14242
3791.78,0.14127
3792.68,0.14048
3793.58,0.13769
3794.48,0.13442
3795.38,0.12981
3796.28,0.12448
3797.18,0.12032
3798.08,0.11808
3798.98,0.11785
3799.88,0.12135
3800.78,0.12729
3801.68,0.13613
3802.58,0.14529
3803.48,0.15381
3804.38,0.15878
3805.28,0.16268
3806.18,0.16271
3807.08,0.16278
3807.98,0.1629
3808.88,0.16323
3809.78,0.16491
3810.68,0.16511
3811.58,0.16493
3812.48,0.16143
3813.38,0.15606
3814.28,0.15044
3815.18,0.14424
3816.08,0.14085
3816.98,0.13886
3817.88,0.13802
3818.78,0.13711
3819.68,0.13571
3820.58,0.13386
3821.48,0.13127
3822.38,0.13033
3823.28,0.12846
3824.18,0.12648
3825.09,0.12234
3825.99,0.11897
3826.89,0.11532
3827.79,0.11303
3828.69,0.11202
3829.59,0.11115
3830.49,0.10977
3831.39,0.10752
3832.29,0.10369
3833.19,0.10002
3834.09,0.096542
3834.99,0.094614
3835.89,0.093256
3836.79,0.093534
3837.69,0.09498
3838.59,0.097167
3839.49,0.10009
3840.39,0.10497
3841.29,0.11156
3842.19,0.11924
3843.09,0.12858
3843.99,0.13672
3844.89,0.14299
3845.79,0.14838
3846.69,0.15163
3847.59,0.15306
3848.49,0.15412
3849.39,0.15378
3850.29,0.15319
3851.19,0.15395
3852.09,0.15368
3852.99,0.15405
3853.89,0.1545
3854.79,0.15231
3855.69,0.14982
3856.59,0.14574
3857.49,0.14219
3858.39,0.13837
3859.29,0.13461
3860.19,0.13392
3861.09,0.13617
3861.99,0.14028
3862.9,0.14616
3863.8,0.15129
3864.7,0.15571
3865.6,0.15699
3866.5,0.15756
3867.4,0.15721
3868.3,0.15505
3869.2,0.15386
3870.1,0.15031
3871.0,0.14668
3871.9,0.14331
3872.8,0.1404
3873.7,0.13983
3874.6,0.14116
3875.5,0.14335
3876.4,0.14386
3877.3,0.14394
3878.2,0.143
3879.1,0.14139
3880.0,0.14054
3880.9,0.13989
3881.8,0.14059
3882.7,0.13989
3883.6,0.13878
3884.5,0.1364
3885.4,0.13275
3886.3,0.12852
3887.2,0.12403
3888.1,0.1201
3889.0,0.11862
3889.9,0.12017
3890.8,0.12416
3891.7,0.12987
3892.6,0.1361
3893.5,0.14124
3894.4,0.14531
3895.3,0.14842
3896.2,0.15055
3897.1,0.15277
3898.0,0.15373
3898.9,0.15453
3899.8,0.1559
3900.7,0.15667
3901.6,0.15594
3902.51,0.15558
3903.41,0.15525
3904.31,0.15394
3905.21,0.15239
3906.11,0.15213
3907.01,0.15298
3907.91,0.15654
3908.81,0.16055
3909.71,0.1652
3910.61,0.17013
3911.51,0.1731
3912.41,0.17511
3913.31,0.17549
3914.21,0.17465
3915.11,0.17347
3916.01,0.17088
3916.91,0.16774
3917.81,0.16524
3918.71,0.16079
3919.61,0.15772
3920.51,0.15313
3921.41,0.14993
3922.31,0.14771
3923.21,0.14562
3924.11,0.14368
3925.01,0.14146
3925.91,0.13669
3926.81,0.12978
3927.71,0.12026
3928.61,0.10992
3929.51,0.097864
3930.41,0.085634
3931.31,0.073888
3932.21,0.063914
3933.11,0.055876
3934.01,0.051452
3934.91,0.05082
3935.81,0.054146
3936.71,0.061217
3937.61,0.07138
3938.51,0.083047
3939.42,0.09522
3940.32,0.10609
3941.22,0.11506
3942.12,0.12264
3943.02,0.12812
3943.92,0.13305
3944.82,0.13809
3945.72,0.14361
3946.62,0.14767
3947.52,0.15309
3948.42,0.15678
3949.32,0.16038
3950.22,0.16293
3951.12,0.16521
3952.02,0.16706
