wave,flux
3700.85,0.088775
3701.75,0.087001
3702.65,0.083747
3703.55,0.078809
3704.45,0.072466
3705.35,0.066942
3706.25,0.062434
3707.15,0.059947
3708.05,0.059368
3708.96,0.061048
3709.86,0.06423
3710.76,0.069489
3711.66,0.075442
3712.56,0.081084
3713.46,0.08635
3714.36,0.089071
3715.26,0.08941
3716.16,0.087614
3717.06,0.083061
3717.96,0.076762
3718.86,0.069324
3719.76,0.061795
3720.66,0.055729
3721.56,0.052241
3722.46,0.052378
3723.36,0.055448
3724.26,0.060121
3725.16,0.06511
3726.06,0.069177
3726.96,0.070683
3727.86,0.07086
3728.76,0.070729
3729.66,0.070117
3730.56,0.068338
3731.46,0.065106
3732.36,0.060581
3733.26,0.054887
3734.16,0.049504
3735.06,0.04517
3735.96,0.042939
3736.86,0.043323
3737.76,0.046052
3738.66,0.051047
3739.56,0.056845
3740.46,0.062309
3741.36,0.065839
3742.26,0.066201
3743.16,0.064144
3744.06,0.060401
3744.96,0.056065
3745.86,0.051625
3746.76,0.04808
3747.67,0.045426
3748.57,0.044297
3749.47,0.044893
3750.37,0.047352
3751.27,0.052562
3752.17,0.058765
3753.07,0.065177
3753.97,0.071503
3754.87,0.07551
3755.77,0.076749
3756.67,0.075393
3757.57,0.071555
3758.47,0.067423
3759.37,0.064007
3760.27,0.062645
3761.17,0.062387
3762.07,0.063094
3762.97,0.064564
3763.87,0.064927
3764.77,0.065342
3765.67,0.065471
3766.57,0.065779
3767.47,0.066331
3768.37,0.06776
3769.27,0.069697
3770.17,0.072555
3771.07,0.075541
3771.97,0.078427
3772.87,0.080813
3773.77,0.083113
3774.67,0.084761
3775.57,0.085273
3776.47,0.085639
3777.37,0.085961
3778.27,0.087021
3779.17,0.08821
3780.07,0.089707
3780.97,0.092031
3781.87,0.093289
3782.77,0.09395
3783.67,0.093222
3784.57,0.091295
3785.47,0.087778
3786.38,0.083283
3787.28,0.078318
3788.18,0.074286
3789.08,0.070955
3789.98,0.068936
3790.88,0.069008
3791.78,0.06898
3792.68,0.068921
3793.58,0.06782
3794.48,0.066834
3795.38,0.065031
3796.28,0.062725
3797.18,0.061423
3798.08,0.060462
3798.98,0.06047
3799.88,0.062211
3800.78,0.065489
3801.68,0.070142
3802.58,0.074867
3803.48,0.078958
3804.38,0.081696
3805.28,0.082905
3806.18,0.082411
3807.08,0.081828
3807.98,0.081464
3808.88,0.081575
3809.78,0.082387
3810.68,0.082677
3811.58,0.08169
3812.48,0.079273
3813.38,0.075533
3814.28,0.070817
3815.18,0.066858
3816.08,0.063375
3816.98,0.061218
3817.88,0.059862
3818.78,0.058676
3819.68,0.057232
3820.58,0.055629
3821.48,0.054447
3822.38,0.053445
3823.28,0.052658
3824.18,0.051318
3825.09,0.049278
3825.99,0.047242
3826.89,0.045637
3827.79,0.044798
3828.69,0.044547
3829.59,0.045074
3830.49,0.045317
3831.39,0.045126
3832.29,0.044516
3833.19,0.043478
3834.09,0.043043
3834.99,0.043325
3835.89,0.043691
3836.79,0.043903
3837.69,0.0442
3838.59,0.044107
3839.49,0.044541
3840.39,0.045986
3841.29,0.048738
3842.19,0.05249
3843.09,0.057357
3843.99,0.061742
3844.89,0.065381
3845.79,0.067775
3846.69,0.069558
3847.59,0.070059
3848.49,0.069889
3849.39,0.069188
3850.29,0.068208
3851.19,0.0677
3852.09,0.067554
3852.99,0.067179
3853.89,0.066529
3854.79,0.065146
3855.69,0.063273
3856.59,0.061222
3857.49,0.058427
3858.39,0.056149
3859.29,0.054668
3860.19,0.053747
3861.09,0.055238
3861.99,0.058079
3862.9,0.061738
