wave,flux
3700.85,-7.825098035387473e-05
3701.75,-7.772068206646969e-05
3702.65,-7.590138170984482e-05
3703.55,-7.383348820819988e-05
3704.45,-7.126971705669855e-05
3705.35,-6.912876860905763e-05
3706.25,-6.79860937907772e-05
3707.15,-6.826498771456958e-05
3708.05,-6.919286164715195e-05
3708.96,-7.025601341913753e-05
3709.86,-7.179650137292209e-05
3710.76,-7.320488344414232e-05
3711.66,-7.468843438707334e-05
3712.56,-7.708021858563577e-05
3713.46,-7.990739521283172e-05
3714.36,-8.285762386678302e-05
3715.26,-8.559336967999407e-05
3716.16,-8.751774988348565e-05
3717.06,-8.85610801935088e-05
3717.96,-8.724655686666367e-05
3718.86,-8.431567118054834e-05
3719.76,-8.017238183920678e-05
3720.66,-7.568329578403991e-05
3721.56,-7.224307181237706e-05
3722.46,-7.121734560365173e-05
3723.36,-7.25406458167576e-05
3724.26,-7.643248312914754e-05
3725.16,-8.11053332673982e-05
3726.06,-8.532220753699468e-05
3726.96,-8.85397488246995e-05
3727.86,-9.084697697350109e-05
3728.76,-9.205890068023755e-05
3729.66,-9.20151951138598e-05
3730.56,-9.096274962777693e-05
3731.46,-8.812402891718906e-05
3732.36,-8.399875813887426e-05
3733.26,-7.889259499079728e-05
3734.16,-7.395722197211426e-05
3735.06,-7.077760934436174e-05
3735.96,-7.000002413759148e-05
3736.86,-7.2099100550194e-05
3737.76,-7.664558076396701e-05
3738.66,-8.306894231801272e-05
3739.56,-8.970991002058533e-05
3740.46,-9.580524444145848e-05
3741.36,-9.986112347337569e-05
3742.26,-0.00010203908010143089
3743.16,-0.00010155203929059958
3744.06,-9.960018251354458e-05
3744.96,-9.731883416324964e-05
3745.86,-9.365218553833471e-05
3746.76,-8.933625665572516e-05
3747.67,-8.453365176188062e-05
3748.57,-8.063397462939745e-05
3749.47,-7.777394829209016e-05
3750.37,-7.740496195960032e-05
3751.27,-8.020245821607586e-05
3752.17,-8.538498505185494e-05
3753.07,-9.297413026440493e-05
