wave,flux
3700.85,-7.860828129035793e-07
3701.75,-7.744599260061085e-07
3702.65,-7.467849474805417e-07
3703.55,-7.01710799458948e-07
3704.45,-6.52886886060434e-07
3705.35,-6.045274918790075e-07
3706.25,-5.680067433007907e-07
3707.15,-5.482787407478224e-07
3708.05,-5.426071850865001e-07
3708.96,-5.59153594409216e-07
3709.86,-5.87616403714004e-07
3710.76,-6.281878238350355e-07
3711.66,-6.788620031018182e-07
3712.56,-7.293087985132014e-07
3713.46,-7.719312754524926e-07
3714.36,-8.025623244483054e-07
3715.26,-8.114866052273632e-07
3716.16,-7.933614020613909e-07
3717.06,-7.585113123425739e-07
3717.96,-7.094784103641342e-07
3718.86,-6.44333294013278e-07
3719.76,-5.815772479849552e-07
3720.66,-5.277713888319373e-07
3721.56,-4.969581251223463e-07
3722.46,-4.96174281326922e-07
3723.36,-5.229685046504175e-07
3724.26,-5.640793666869205e-07
3725.16,-6.051588070191189e-07
3726.06,-6.39802298306254e-07
3726.96,-6.556758507220136e-07
3727.86,-6.620295869384706e-07
3728.76,-6.640623119781284e-07
3729.66,-6.537936916541735e-07
3730.56,-6.354991303513391e-07
3731.46,-6.098030057804912e-07
3732.36,-5.679231541760021e-07
3733.26,-5.183775024980299e-07
3734.16,-4.726649561752725e-07
3735.06,-4.3399960496381236e-07
3735.96,-4.173116890308524e-07
3736.86,-4.2291467682448497e-07
3737.76,-4.49786682253866e-07
3738.66,-4.979182194568735e-07
3739.56,-5.526066817484826e-07
3740.46,-5.98416051430179e-07
3741.36,-6.287345942155054e-07
3742.26,-6.357277082440912e-07
3743.16,-6.147822653789387e-07
3744.06,-5.836849559321539e-07
3744.96,-5.458188362964302e-07
3745.86,-5.054721499558775e-07
3746.76,-4.73000488868668e-07
3747.67,-4.4731946149367633e-07
3748.57,-4.3746757383160403e-07
3749.47,-4.3951409351377717e-07
3750.37,-4.5919262896336565e-07
3751.27,-5.022825406614685e-07
3752.17,-5.598877311496186e-07
3753.07,-6.243852504520945e-07
3753.97,-6.81548493633443e-07
3754.87,-7.187736344046861e-07
3755.77,-7.354076422017026e-07
3756.67,-7.203411639437439e-07
3757.57,-6.898612670269544e-07
3758.47,-6.515102536366747e-07
3759.37,-6.233049484815778e-07
3760.27,-6.07398632325861e-07
3761.17,-6.071937731639743e-07
3762.07,-6.152081696384198e-07
3762.97,-6.262833631358791e-07
3763.87,-6.324565977540985e-07
3764.77,-6.37802823781147e-07
3765.67,-6.384992246481308e-07
3766.57,-6.381331467309712e-07
3767.47,-6.438341733893107e-07
3768.37,-6.531437153371983e-07
3769.27,-6.656672099393172e-07
3770.17,-6.861249969336167e-07
3771.07,-7.096689988354223e-07
3771.97,-7.397593590009474e-07
3772.87,-7.644528867347289e-07
3773.77,-7.886567197477737e-07
3774.67,-8.024520450933961e-07
3775.57,-8.175365505787259e-07
3776.47,-8.255124185955401e-07
3777.37,-8.314328926183762e-07
3778.27,-8.386989740520556e-07
3779.17,-8.502555184738522e-07
3780.07,-8.703957328526075e-07
3780.97,-8.906373441333295e-07
3781.87,-9.052165780018063e-07
3782.77,-9.093558820735599e-07
3783.67,-9.047065481353871e-07
3784.57,-8.89028158550786e-07
3785.47,-8.61619441238932e-07
3786.38,-8.190920415021639e-07
3787.28,-7.744607524161942e-07
3788.18,-7.315721322014474e-07
3789.08,-7.020392169200341e-07
3789.98,-6.835326626166755e-07
3790.88,-6.850731470528834e-07
3791.78,-6.818792263174653e-07
3792.68,-6.807111219960447e-07
3793.58,-6.726943418823043e-07
3794.48,-6.619833984815877e-07
3795.38,-6.376050128182419e-07
3796.28,-6.178595807032312e-07
3797.18,-6.037115302296281e-07
3798.08,-5.927246321367117e-07
3798.98,-5.949236339405679e-07
3799.88,-6.131254977841953e-07
3800.78,-6.483481159982363e-07
3801.68,-6.928067577768914e-07
3802.58,-7.361458835341783e-07
3803.48,-7.820238409079819e-07
3804.38,-8.096243649355224e-07
3805.28,-8.214361447144765e-07
3806.18,-8.209172318009629e-07
3807.08,-8.144908400301631e-07
3807.98,-8.127267568604618e-07
3808.88,-8.189393703961353e-07
3809.78,-8.236475273107718e-07
3810.68,-8.306376264051551e-07
3811.58,-8.282587620577825e-07
3812.48,-8.001248995598262e-07
3813.38,-7.646863245905246e-07
3814.28,-7.233762330469732e-07
3815.18,-6.826649188402398e-07
3816.08,-6.537284560864667e-07
3816.98,-6.313281101238004e-07
3817.88,-6.204777607065347e-07
3818.78,-6.128865360191848e-07
3819.68,-5.997965497685283e-07
3820.58,-5.853473542782266e-07
3821.48,-5.754410080425643e-07
3822.38,-5.655657710306565e-07
3823.28,-5.574100184053903e-07
3824.18,-5.459858299241083e-07
3825.09,-5.289066789553234e-07
3825.99,-5.086723174368695e-07
3826.89,-4.905514688534249e-07
3827.79,-4.829020788703403e-07
3828.69,-4.811931559249775e-07
3829.59,-4.842400310941318e-07
3830.49,-4.872006290372487e-07
3831.39,-4.822836995795357e-07
3832.29,-4.7355042323852474e-07
3833.19,-4.6642164768189187e-07
3834.09,-4.5674908997426544e-07
3834.99,-4.549552873262333e-07
3835.89,-4.572048740880012e-07
3836.79,-4.6232095878226193e-07
3837.69,-4.6646234041381686e-07
3838.59,-4.679553000898285e-07
3839.49,-4.7647414681548164e-07
3840.39,-4.928957114776677e-07
3841.29,-5.230981311540628e-07
3842.19,-5.600543135548909e-07
3843.09,-6.070038697068106e-07
3843.99,-6.4833369190308e-07
3844.89,-6.843922370114701e-07
3845.79,-7.093822458069829e-07
3846.69,-7.267931459163367e-07
3847.59,-7.351475963696171e-07
3848.49,-7.34364461101366e-07
3849.39,-7.258508355895373e-07
3850.29,-7.219057632036244e-07
3851.19,-7.188135604010514e-07
3852.09,-7.183702606739297e-07
3852.99,-7.172937821612494e-07
3853.89,-7.138142689725791e-07
3854.79,-6.99220545409223e-07
3855.69,-6.821813309315045e-07
3856.59,-6.61032631372143e-07
3857.49,-6.382737716900495e-07
3858.39,-6.148246233952535e-07
3859.29,-5.966447184311764e-07
3860.19,-5.965996857480269e-07
3861.09,-6.076220218478608e-07
3861.99,-6.385436790627338e-07
3862.9,-6.772634112043222e-07
3863.8,-7.108845202056311e-07
3864.7,-7.379759108035933e-07
3865.6,-7.512059247025086e-07
3866.5,-7.477943152465604e-07
3867.4,-7.396419301397218e-07
3868.3,-7.228287887860381e-07
3869.2,-7.032201399990204e-07
3870.1,-6.833719026664941e-07
3871.0,-6.629545582319169e-07
3871.9,-6.512210894891134e-07
3872.8,-6.488828689396208e-07
3873.7,-6.663203429745954e-07
3874.6,-6.938081790311655e-07
3875.5,-7.210138892516546e-07
3876.4,-7.360693291038949e-07
3877.3,-7.35007406486988e-07
3878.2,-7.227246532673303e-07
3879.1,-7.084525052078365e-07
3880.0,-6.979155041205527e-07
3880.9,-6.911236055947193e-07
3881.8,-6.922680236021869e-07
3882.7,-6.934066538822795e-07
3883.6,-6.972036405464526e-07
3884.5,-6.973849086013802e-07
3885.4,-6.927843114723662e-07
3886.3,-6.77705281374713e-07
3887.2,-6.710878326915306e-07
3888.1,-6.683309890357976e-07
3889.0,-6.772048922857363e-07
3889.9,-7.02610561960621e-07
3890.8,-7.444504137633714e-07
3891.7,-7.89467422113997e-07
3892.6,-8.352657978178644e-07
3893.5,-8.703091811538119e-07
3894.4,-8.867151573468953e-07
3895.3,-8.987328349787868e-07
3896.2,-9.02454131539133e-07
3897.1,-9.09706323654299e-07
3898.0,-9.158449136829661e-07
3898.9,-9.180871110245688e-07
3899.8,-9.180016351786382e-07
3900.7,-9.218291504837622e-07
3901.6,-9.165479055954186e-07
3902.51,-9.098331284565564e-07
3903.41,-9.001535905451694e-07
3904.31,-8.846402222869057e-07
3905.21,-8.749198653826237e-07
3906.11,-8.739590641337216e-07
3907.01,-8.870826975224815e-07
3907.91,-9.181943518287605e-07
3908.81,-9.574031470587358e-07
3909.71,-9.973647368492085e-07
3910.61,-1.0302525117663936e-06
3911.51,-1.0566560523960874e-06
3912.41,-1.072522467371525e-06
3913.31,-1.0846823053712006e-06
3914.21,-1.0848114195233196e-06
3915.11,-1.0760077148829429e-06
3916.01,-1.0593170481178015e-06
3916.91,-1.0391542317383483e-06
3917.81,-1.0077784599697007e-06
3918.71,-9.756564120598633e-07
3919.61,-9.405622322485087e-07
3920.51,-9.040231159224957e-07
3921.41,-8.717970424025911e-07
3922.31,-8.565060268317075e-07
3923.21,-8.381856260661003e-07
3924.11,-8.278430513470719e-07
3925.01,-8.149371775406734e-07
3925.91,-7.890434542052298e-07
3926.81,-7.492619758879667e-07
3927.71,-6.942335563266191e-07
3928.61,-6.268343704720748e-07
3929.51,-5.549771206769189e-07
3930.41,-4.869207148683123e-07
3931.31,-4.2065833010014607e-07
3932.21,-3.65505527779428e-07
3933.11,-3.265753709896628e-07
3934.01,-3.0367043568921717e-07
3934.91,-3.026190596455847e-07
3935.81,-3.2398663935222697e-07
3936.71,-3.643702215013633e-07
3937.61,-4.222595099404692e-07
3938.51,-4.877775298312808e-07
3939.42,-5.588150944855063e-07
3940.32,-6.21129037819657e-07
3941.22,-6.72843628512961e-07
3942.12,-7.103148600893531e-07
3943.02,-7.40034966741398e-07
3943.92,-7.644027786548064e-07
3944.82,-7.974402059498106e-07
3945.72,-8.372737654375123e-07
3946.62,-8.80723389205395e-07
3947.52,-9.258275679559743e-07
3948.42,-9.710123149860635e-07
3949.32,-1.0090107367548893e-06
3950.22,-1.037273417259283e-06
3951.12,-1.0691472461969031e-06
3952.02,-1.0827819383804427e-06
3952.92,-1.0965990504037964e-06
3953.82,-1.1029818808628155e-06
3954.72,-1.1007190648544885e-06
3955.62,-1.098292497387126e-06
3956.52,-1.089814292891225e-06
3957.42,-1.0767014696504475e-06
3958.32,-1.0567895170746253e-06
3959.22,-1.0291027686897503e-06
3960.12,-9.942590118948126e-07
3961.02,-9.362550693779432e-07
3961.92,-8.687868637039879e-07
3962.82,-7.993468622374552e-07
3963.72,-7.250770206557386e-07
3964.62,-6.57161453208575e-07
3965.52,-5.903751891056378e-07
3966.42,-5.224393906842772e-07
3967.32,-4.620611640524495e-07
3968.22,-4.1414736092142345e-07
3969.12,-3.871596007370344e-07
3970.02,-3.844691588794071e-07
3970.92,-4.1214728227022133e-07
3971.82,-4.622216054511346e-07
3972.72,-5.293835414045337e-07
3973.62,-6.091307602389601e-07
3974.52,-6.934611914841664e-07
3975.42,-7.793789689682222e-07
3976.32,-8.658494479143289e-07
3977.22,-9.4258223993429e-07
3978.13,-1.0227970837120209e-06
3979.03,-1.0873599358158691e-06
3979.93,-1.1460117092781067e-06
3980.83,-1.1900946220309783e-06
3981.73,-1.2200585575306908e-06
3982.63,-1.2321897992277652e-06
3983.53,-1.2373938109413412e-06
3984.43,-1.2543067841161952e-06
3985.33,-1.2671549014377063e-06
3986.23,-1.2794517329771243e-06
3987.13,-1.2980873824511303e-06
3988.03,-1.3196301376985089e-06
3988.93,-1.3469646009536233e-06
3989.83,-1.3605270200712148e-06
3990.73,-1.3737838283280907e-06
3991.63,-1.3867341675661835e-06
3992.53,-1.3958300650789485e-06
3993.43,-1.4046938940672677e-06
3994.33,-1.4088623952669476e-06
3995.23,-1.4039388048360467e-06
3996.13,-1.3914713590681435e-06
3997.03,-1.3803062049617091e-06
3997.93,-1.3833028939104014e-06
3998.83,-1.4034887006043147e-06
3999.73,-1.4270340400078277e-06
4000.63,-1.4504549737035754e-06
4001.53,-1.4841566122094955e-06
4002.43,-1.4984218387248844e-06
4003.33,-1.4910292282842004e-06
4004.23,-1.4698493915285081e-06
4005.13,-1.4401081714487213e-06
4006.03,-1.4120679184090918e-06
4006.93,-1.3981209047793781e-06
4007.83,-1.4040024785846242e-06
4008.73,-1.4249872929412194e-06
4009.63,-1.4596059184777938e-06
4010.53,-1.4843741128636221e-06
4011.43,-1.5083457103212752e-06
4012.33,-1.5326125453918762e-06
4013.23,-1.5497626656221874e-06
4014.13,-1.5664372113000182e-06
4015.03,-1.578668555520644e-06
4015.93,-1.5877114924664577e-06
4016.84,-1.5873171554471793e-06
4017.74,-1.5889358504880839e-06
4018.64,-1.5999580205626883e-06
4019.54,-1.6043019838759093e-06
4020.44,-1.609755936795468e-06
4021.34,-1.6158982592193728e-06
4022.24,-1.6115096818976946e-06
4023.14,-1.6041340001149986e-06
4024.04,-1.5995541948714812e-06
4024.94,-1.6028924786030595e-06
4025.84,-1.603420260813183e-06
4026.74,-1.6159890981338805e-06
4027.64,-1.6208015472342239e-06
4028.54,-1.6120185764065362e-06
4029.44,-1.580183221306924e-06
4030.34,-1.5376603077774105e-06
4031.24,-1.4806457831319396e-06
4032.14,-1.4187171629821382e-06
4033.04,-1.387013393464902e-06
4033.94,-1.366261887081875e-06
4034.84,-1.3826686405733838e-06
4035.74,-1.4365944457308431e-06
4036.64,-1.5043339974052154e-06
4037.54,-1.5682251399344829e-06
