wave,flux
3700.85,-5.950211616961205e-07
3701.75,-5.855857948660539e-07
3702.65,-5.596409456956758e-07
3703.55,-5.258455672560467e-07
3704.45,-4.871736493068241e-07
3705.35,-4.4877005685978826e-07
3706.25,-4.1965252272543154e-07
3707.15,-4.013419436533458e-07
3708.05,-4.010438503578393e-07
3708.96,-4.116009278805444e-07
3709.86,-4.389341820827698e-07
3710.76,-4.7344560452272747e-07
3711.66,-5.180361356068777e-07
3712.56,-5.645795475713276e-07
3713.46,-6.02087836610679e-07
3714.36,-6.267461803785911e-07
3715.26,-6.2798170632412e-07
3716.16,-6.1264212513673e-07
3717.06,-5.810379632556969e-07
3717.96,-5.345879341029027e-07
3718.86,-4.822087528688287e-07
3719.76,-4.269946516668638e-07
3720.66,-3.8816591018006073e-07
3721.56,-3.6304438020012896e-07
3722.46,-3.6574676996828543e-07
3723.36,-3.881562534236681e-07
3724.26,-4.231296455728163e-07
3725.16,-4.592236411089024e-07
3726.06,-4.880098108688014e-07
3726.96,-5.023354555904208e-07
3727.86,-5.059496633405127e-07
3728.76,-5.033489574966119e-07
3729.66,-4.962641785646766e-07
3730.56,-4.833716135976162e-07
3731.46,-4.6405836456736933e-07
3732.36,-4.302153730187439e-07
3733.26,-3.913224670221242e-07
3734.16,-3.5183877214503586e-07
3735.06,-3.2125123079114477e-07
3735.96,-3.0650034938758464e-07
3736.86,-3.1208610380731016e-07
3737.76,-3.351632353158019e-07
3738.66,-3.739948920022497e-07
3739.56,-4.1763701542126617e-07
3740.46,-4.5886624745765775e-07
3741.36,-4.84569813719696e-07
3742.26,-4.937451936617037e-07
3743.16,-4.769426739765896e-07
3744.06,-4.465884751009712e-07
3744.96,-4.1343795093573535e-07
3745.86,-3.8088730734948896e-07
3746.76,-3.5585760934575543e-07
3747.67,-3.367880444572528e-07
3748.57,-3.309264458762725e-07
3749.47,-3.357851527376798e-07
3750.37,-3.5927488126954583e-07
3751.27,-3.9797105096335837e-07
3752.17,-4.4933930188878736e-07
3753.07,-5.031981421833154e-07
3753.97,-5.527875449199991e-07
3754.87,-5.874189333825593e-07
3755.77,-5.960062875113358e-07
3756.67,-5.855442362993504e-07
3757.57,-5.597580829126303e-07
3758.47,-5.239164602489554e-07
3759.37,-4.966271864691479e-07
3760.27,-4.873920578129079e-07
3761.17,-4.846298321435324e-07
3762.07,-4.944968112074173e-07
3762.97,-5.034703804530619e-07
3763.87,-5.090915304969142e-07
3764.77,-5.10883516256059e-07
3765.67,-5.15674341207244e-07
3766.57,-5.182187481921016e-07
3767.47,-5.268466214012925e-07
3768.37,-5.423909512880442e-07
3769.27,-5.644630770274935e-07
3770.17,-5.878506563633842e-07
3771.07,-6.181616462286831e-07
3771.97,-6.448841318169627e-07
3772.87,-6.722999989916672e-07
3773.77,-6.893238883550058e-07
3774.67,-7.024687810234815e-07
